strategy,trades,win_rate,pf,pnl,max_dd,days_over_500,rr,adx_filter,rsi_filter
MACD + Zero Line,195,28.717948717948715,1.04931938406118,358.20460591997016,12.826436437879282,0,2.5,20,"(25, 75)"
CCI,423,27.89598108747045,1.0478446198719524,798.6740643637866,21.525696986061956,0,2.5,20,"(25, 75)"
CCI,470,45.31914893617021,1.0472468260892132,669.3087779453781,14.22271739959716,0,1.2,25,"(30, 70)"
MACD+Stochastic,41,29.268292682926827,1.0443028347065302,62.41541453769946,6.989422007969481,0,2.0,20,"(25, 75)"
CCI,656,39.9390243902439,1.0433008393653869,916.2446103777297,20.44652677263515,0,1.5,15,"(25, 75)"
MACD + Zero Line,201,35.82089552238806,1.0407366934039595,274.71738706314363,10.478014117649725,0,1.8,15,"(35, 65)"
CCI,382,27.748691099476442,1.0404724345321796,613.7750448499571,20.48867417744215,0,2.5,25,"(25, 75)"
CCI,580,39.6551724137931,1.0386755680156368,730.6464999062582,15.044745295388347,0,1.5,15,"(30, 70)"
MACD + Zero Line,151,35.76158940397351,1.0344575413501949,177.34181867325736,11.353817612784264,0,1.8,25,"(30, 70)"
CCI,696,45.11494252873563,1.0243214214745762,501.6151869637809,17.209966719490954,0,1.2,15,"(25, 75)"
MACD + Zero Line,186,28.49462365591398,1.0241884600554843,168.3510344368945,15.227355357578856,0,2.5,20,"(30, 70)"
CCI,480,39.58333333333333,1.0234087243270362,371.1595835004434,17.38990577970235,0,1.5,15,"(35, 65)"
MACD + Zero Line,194,32.98969072164948,1.0230021803339806,155.32951354979286,11.404584748404382,0,2.0,15,"(35, 65)"
MACD + Zero Line,166,34.93975903614458,1.0211491515778652,119.44689069473648,13.376275945391036,0,1.8,20,"(35, 65)"
MACD+Stochastic,45,33.33333333333333,1.0207212145472822,30.252595629008248,6.715092757088856,0,1.8,15,"(25, 75)"
MACD + Zero Line,207,46.3768115942029,1.01924400407334,113.36295645576683,9.09360081808915,0,1.2,15,"(35, 65)"
CCI,455,45.05494505494506,1.0173009699519995,239.5375409807741,15.835618122645693,0,1.2,20,"(35, 65)"
MACD + Zero Line,160,35.625,1.0162653932931354,89.52875518798118,10.455143083844892,0,1.8,25,"(25, 75)"
CCI,622,44.69453376205787,1.01413955340204,263.45539038521883,13.122650380815942,0,1.2,15,"(30, 70)"
MACD + Zero Line,122,40.16393442622951,1.0046009572624814,18.13652719767404,8.484333392552156,0,1.5,25,"(35, 65)"
MACD+Stochastic,31,45.16129032258064,1.002683905601398,2.3340257917099407,3.9363435908726707,0,1.2,15,"(30, 70)"
CCI,367,44.6866485013624,1.001689810915667,19.23408344814873,14.758296775817788,0,1.2,25,"(35, 65)"
MACD + Zero Line,165,44.84848484848485,1.0015656223496379,7.553272247314368,7.923553194318599,0,1.2,25,"(25, 75)"
MACD + Zero Line,196,32.6530612244898,0.9989598854039677,-7.133707319001701,15.228081485203331,0,2.0,20,"(30, 70)"
MACD + Zero Line,160,31.874999999999996,0.9988538841093834,-6.467170715346981,13.354795810154538,0,2.0,20,"(35, 65)"
MACD + Zero Line,269,45.72490706319702,0.9976996300985371,-17.69932774134901,7.872147772652735,0,1.2,15,"(25, 75)"
MACD + Zero Line,202,32.67326732673268,0.9976735692672271,-16.47448948452118,14.29469629015239,0,2.0,20,"(25, 75)"
MACD + Zero Line,152,40.131578947368425,0.9933339363205054,-32.7439417158106,9.572724764687818,0,1.5,25,"(30, 70)"
MACD + Zero Line,205,40.0,0.9928190215625706,-46.849467413784936,11.718408720834061,0,1.5,15,"(35, 65)"
MACD+Stochastic,41,31.70731707317073,0.9920140317895957,-11.040803636823547,6.427144971575087,0,1.8,20,"(25, 75)"
MACD+Stochastic,45,26.666666666666668,0.9919394262125619,-13.203052793236964,8.412851755959714,0,2.5,15,"(25, 75)"
MACD + Zero Line,201,34.82587064676617,0.9886494219655293,-77.90727015905856,16.668271980285677,0,1.8,20,"(30, 70)"
MACD+Stochastic,38,28.947368421052634,0.9876428795768691,-16.03859220232343,6.444409152439697,0,2.0,25,"(25, 75)"
MACD+Stochastic,31,38.70967741935484,0.9873403834579872,-12.186694826411205,4.347394507271969,0,1.5,15,"(30, 70)"
MACD + Zero Line,243,32.92181069958848,0.9865815501564431,-114.65908323015887,11.735972622462645,0,2.0,15,"(25, 75)"
MACD + Zero Line,252,45.63492063492063,0.9840275211563284,-115.81175013951346,8.726278675624343,0,1.2,15,"(30, 70)"
MACD + Zero Line,153,44.44444444444444,0.9796752276137768,-91.65240260533503,8.755563027518301,0,1.2,25,"(30, 70)"
MACD + Zero Line,153,26.797385620915033,0.9793713868773163,-120.34803935461278,14.758463409968828,0,2.5,20,"(35, 65)"
CCI,505,44.15841584158416,0.9787651794782349,-328.44385692048934,15.95478250776011,0,1.2,15,"(35, 65)"
MACD + Zero Line,212,34.43396226415094,0.9717713990385446,-206.52402714321386,16.717882608686192,0,1.8,20,"(25, 75)"
